signal,entry_time,exit_time,pair,direction,pair_entry,pair_exit,r_actual,outcome,sl_pts_dxy,dxy_outcome,dxy_entry,dxy_tp,dxy_sl,london_open,gap_pts_at_lon,wave_ext_pts
LON_ATTR_LONG,2025-09-08 08:30:00+00:00,2025-09-08 12:45:00+00:00,AUDUSD,short,0.65854,0.65949,-1.0,loss,950,loss,97.686,97.8285,97.591,97.799,0.0,0.0
LON_ATTR_LONG,2025-09-08 08:30:00+00:00,2025-09-08 12:45:00+00:00,NZDUSD,short,0.59263,0.59358,-1.0,loss,950,loss,97.686,97.8285,97.591,97.799,0.0,0.0
LON_ATTR_LONG,2025-09-15 07:30:00+00:00,2025-09-15 10:00:00+00:00,AUDUSD,short,0.66684,0.66587,0.814,win,1200,loss,97.551,97.731,97.431,97.688,0.0,0.0
LON_ATTR_LONG,2025-09-15 07:30:00+00:00,2025-09-15 10:00:00+00:00,NZDUSD,short,0.59659,0.59588,0.592,win,1200,loss,97.551,97.731,97.431,97.688,0.0,0.0
LON_ATTR_LONG,2025-09-15 07:30:00+00:00,2025-09-15 10:00:00+00:00,USDJPY,long,147.423,147.327,-0.8,loss,1200,loss,97.551,97.851,97.431,97.688,0.0,0.0
GAP_REJ_LONG,2025-09-15 09:30:00+00:00,2025-09-15 13:00:00+00:00,NZDUSD,short,0.59609,0.59662,-0.308,loss,1730,loss,97.478,97.651,97.305,97.688,-10.0,0.0
GAP_REJ_LONG,2025-09-15 09:30:00+00:00,2025-09-15 13:00:00+00:00,USDJPY,long,147.379,147.292,-0.503,loss,1730,loss,97.478,97.651,97.305,97.688,-10.0,0.0
ATTR_CORE_LONG,2025-09-15 14:30:00+00:00,2025-09-16 02:15:00+00:00,GBPUSD,short,1.35881,1.36106,-0.84,loss,2680,loss,147.429,148.233,147.161,147.594,1060.0,1410.0
ATTR_CORE_LONG,2025-09-15 14:30:00+00:00,2025-09-16 02:15:00+00:00,AUDUSD,short,0.66591,0.66676,-0.315,loss,2680,loss,147.429,148.233,147.161,147.594,1060.0,1410.0
ATTR_CORE_LONG,2025-09-15 14:30:00+00:00,2025-09-16 02:15:00+00:00,USDJPY,long,147.429,147.161,-1.0,loss,2680,loss,147.429,148.233,147.161,147.594,1060.0,1410.0
ATTR_CORE_LONG,2025-09-15 14:30:00+00:00,2025-09-16 02:15:00+00:00,USDCAD,long,1.38263,1.37995,-1.0,loss,2680,loss,147.429,148.233,147.161,147.594,1060.0,1410.0
ATTR_CORE_LONG,2025-09-15 14:30:00+00:00,2025-09-16 02:15:00+00:00,USDCHF,long,0.79521,0.79398,-0.459,loss,2680,loss,147.429,148.233,147.161,147.594,1060.0,1410.0
ATTR_CORE_LONG,2025-09-15 14:30:00+00:00,2025-09-16 02:15:00+00:00,EURUSD,short,1.17543,1.17734,-0.713,loss,2680,loss,147.429,148.233,147.161,147.594,1060.0,1410.0
ATTR_CORE_LONG,2025-09-15 14:30:00+00:00,2025-09-16 02:15:00+00:00,NZDUSD,short,0.59602,0.59602,0.0,timeout,2680,loss,147.429,148.233,147.161,147.594,1060.0,1410.0
ATTR_CORE_LONG,2025-09-19 07:45:00+00:00,2025-09-19 08:00:00+00:00,EURUSD,short,1.177,1.17579,2.63,win,460,loss,147.932,148.07,147.886,147.852,750.0,0.0
ATTR_CORE_LONG,2025-09-19 07:45:00+00:00,2025-09-19 08:00:00+00:00,USDCAD,long,1.38126,1.3814,0.304,win,460,loss,147.932,148.07,147.886,147.852,750.0,0.0
ATTR_CORE_LONG,2025-09-19 07:45:00+00:00,2025-09-19 08:00:00+00:00,USDJPY,long,147.932,147.886,-1.0,loss,460,loss,147.932,148.07,147.886,147.852,750.0,0.0
ATTR_CORE_LONG,2025-09-19 07:45:00+00:00,2025-09-19 08:00:00+00:00,AUDUSD,short,0.66041,0.66002,0.853,win,460,loss,147.932,148.07,147.886,147.852,750.0,0.0
