date,direction,gap_pts_at_lon,zone_width_pts,wave_bars,wave_extension_pts,wave_total_pts,pts_per_bar,slope_pts_bar,r2,avg_body_pts,avg_range_pts,body_ratio,pct_directional,rsi_at_peak,bb_pctb_at_peak,bb_width_pts_peak,bb_expanding,bb_width_chg_pct,macd_hist_peak,ema20_dist_pts,atr_mult,rsi_divergence,macd_divergence,reached_far_edge,max_progress_pct,pullback_pts
2024-01-18,SHORT,6990.0,300.0,28,4060.0,11050.0,150.4,73.59,0.41,375.4,617.1,0.608,64.3,75.7,1.059,4137.1,True,142.0,336.45,2310.9,3.13,False,False,False,6.0,880.0
2024-01-19,SHORT,9530.0,300.0,31,540.0,10070.0,18.0,-6.72,0.015,307.7,561.0,0.549,58.1,66.3,1.093,1922.5,False,-8.1,166.16,1140.6,1.82,False,False,False,17.6,2150.0
2024-01-22,LONG,800.0,140.0,25,410.0,1210.0,17.1,-0.01,0.0,250.8,496.4,0.505,56.0,38.3,0.056,1575.8,True,76.2,-124.23,-700.2,1.51,False,False,True,194.7,1780.0
2024-01-23,LONG,2680.0,140.0,1,0.0,2680.0,0.0,0.0,0.0,90.0,320.0,0.281,0.0,26.7,0.047,3789.9,False,0.0,-223.33,-1718.2,3.2,False,False,True,290.1,5980.0
2024-01-25,LONG,260.0,140.0,13,910.0,1170.0,75.8,-72.86,0.728,177.7,463.1,0.384,61.5,29.2,0.144,2378.8,True,100.1,-103.21,-847.1,1.91,False,True,True,1107.5,4470.0
2024-01-30,SHORT,420.0,30.0,1,0.0,420.0,0.0,0.0,0.0,40.0,290.0,0.138,100.0,66.2,0.999,1617.8,False,0.0,151.07,806.9,2.35,False,False,True,608.9,1790.0
2024-01-31,SHORT,670.0,30.0,5,250.0,920.0,62.5,74.0,0.579,202.0,564.0,0.358,40.0,62.2,0.989,717.6,True,7.8,-41.88,351.0,0.82,False,True,True,952.9,5340.0
2024-02-01,SHORT,1820.0,30.0,2,720.0,2540.0,720.0,720.0,1.0,500.0,690.0,0.725,100.0,77.4,0.989,3634.7,True,13.4,145.4,1777.2,3.63,False,False,True,380.5,7600.0
2024-02-08,LONG,370.0,170.0,1,0.0,370.0,0.0,0.0,0.0,230.0,490.0,0.469,100.0,46.0,0.347,775.0,False,0.0,26.5,-118.4,0.38,False,False,True,800.0,1700.0
2024-02-13,SHORT,1050.0,40.0,49,8140.0,9190.0,169.6,196.39,0.679,458.4,728.6,0.629,53.1,73.9,1.301,2247.2,True,87.2,-93.71,1800.5,3.23,False,False,True,143.1,290.0
2024-02-14,SHORT,7920.0,40.0,11,1410.0,9330.0,141.0,123.91,0.773,297.3,650.9,0.457,72.7,65.8,0.811,2731.5,True,156.6,134.91,849.3,1.55,False,False,False,19.2,2200.0
2024-02-15,SHORT,6190.0,40.0,4,360.0,6550.0,120.0,152.0,0.427,295.0,517.5,0.57,50.0,50.4,0.59,1102.7,True,25.1,0.98,99.4,0.25,False,False,False,73.0,3800.0
2024-02-16,SHORT,3500.0,40.0,27,2330.0,5830.0,89.6,-0.51,0.0,247.8,494.4,0.501,51.9,78.5,1.347,2754.2,True,285.5,227.62,2332.0,3.06,False,False,False,56.5,3650.0
2024-02-20,SHORT,990.0,30.0,3,470.0,1460.0,235.0,235.0,0.873,223.3,370.0,0.604,66.7,58.0,0.886,640.1,True,0.3,-40.23,246.9,0.82,False,False,True,524.5,3250.0
2024-02-28,SHORT,420.0,90.0,12,2050.0,2470.0,186.4,187.62,0.92,250.8,451.7,0.555,75.0,82.5,0.908,3568.4,True,90.7,133.01,1457.6,3.44,False,False,True,288.2,2550.0
2024-03-01,SHORT,1070.0,90.0,32,1940.0,3010.0,62.6,11.26,0.05,239.4,490.3,0.488,53.1,71.8,1.069,2321.8,True,97.2,151.98,1320.6,2.36,False,False,True,208.6,3990.0
2024-03-05,SHORT,610.0,50.0,3,140.0,750.0,70.0,70.0,0.697,66.7,266.7,0.25,66.7,73.7,0.922,1077.6,True,21.0,48.63,454.5,1.74,False,False,True,516.7,1460.0
2024-03-19,SHORT,2150.0,130.0,12,2330.0,4480.0,211.8,217.06,0.921,319.2,545.8,0.585,83.3,76.9,0.963,3677.5,True,11.6,136.22,1702.6,3.24,False,False,False,18.9,2120.0
2024-03-21,LONG,270.0,1370.0,1,0.0,270.0,0.0,0.0,0.0,320.0,620.0,0.516,100.0,37.4,0.074,999.4,False,0.0,119.43,-426.1,1.22,False,False,True,510.4,8180.0
2024-03-26,LONG,1010.0,80.0,14,840.0,1850.0,64.6,-87.16,0.57,213.6,434.3,0.492,50.0,28.7,-0.018,1695.4,True,11.8,-98.08,-877.4,2.1,False,False,True,199.1,2490.0
2024-03-27,SHORT,410.0,20.0,27,1080.0,1490.0,41.5,23.58,0.097,228.1,470.0,0.485,51.9,65.4,0.784,2679.7,True,230.2,142.79,760.1,1.78,False,False,True,283.7,1220.0
2024-03-28,SHORT,150.0,1310.0,12,2790.0,2940.0,253.6,249.9,0.958,295.0,468.3,0.63,66.7,86.3,0.821,5612.6,True,424.2,252.99,1802.6,4.53,False,False,False,87.7,1730.0
2024-04-01,SHORT,330.0,60.0,38,5390.0,5720.0,145.7,140.62,0.746,221.3,433.7,0.51,73.7,85.6,0.814,7484.1,True,968.1,318.4,2348.0,4.17,False,False,False,82.1,720.0
2024-04-02,SHORT,490.0,400.0,1,0.0,490.0,0.0,0.0,0.0,150.0,320.0,0.469,0.0,51.9,0.487,704.8,False,0.0,-31.52,-9.3,0.03,False,False,True,416.9,2550.0
2024-04-03,SHORT,430.0,200.0,2,170.0,600.0,170.0,170.0,1.0,195.0,455.0,0.429,100.0,68.7,0.954,1440.7,True,18.6,128.53,653.5,2.17,False,False,True,927.0,5530.0
2024-04-04,LONG,370.0,20.0,27,2460.0,2830.0,94.6,-45.33,0.463,232.2,427.8,0.543,66.7,28.3,-0.109,2089.4,True,218.7,-118.95,-1272.1,2.53,False,False,True,153.8,2500.0
2024-04-05,SHORT,390.0,170.0,25,4280.0,4670.0,178.3,76.29,0.237,370.0,616.8,0.6,52.0,79.8,1.195,5148.1,True,653.9,431.92,3580.5,3.36,False,False,True,175.0,3710.0
2024-04-12,SHORT,4000.0,180.0,31,3830.0,7830.0,127.7,138.73,0.909,324.2,644.5,0.503,64.5,73.0,0.972,2990.3,False,-35.6,-16.01,1412.9,1.95,True,True,False,18.9,470.0
2024-04-17,LONG,1040.0,460.0,47,3340.0,4380.0,72.6,-31.45,0.259,348.9,667.4,0.523,48.9,28.4,0.081,4367.2,True,76.1,-283.82,-1830.1,2.55,False,False,False,35.3,840.0
2024-04-23,SHORT,600.0,40.0,1,0.0,600.0,0.0,0.0,0.0,80.0,470.0,0.17,0.0,60.3,0.685,1946.1,False,0.0,93.87,360.2,0.96,False,False,True,890.6,5090.0
2024-04-24,SHORT,1310.0,90.0,35,1190.0,2500.0,35.0,13.44,0.153,278.3,514.3,0.541,54.3,61.6,0.981,1649.4,False,-18.7,57.94,792.9,1.26,True,True,False,57.9,1560.0
2024-04-25,LONG,1010.0,130.0,50,1800.0,2810.0,36.7,-4.91,0.004,320.0,635.8,0.503,60.0,35.9,0.171,2835.8,True,51.0,-71.82,-933.6,1.95,False,True,True,254.4,270.0
2024-04-26,SHORT,660.0,250.0,33,5150.0,5810.0,160.9,139.54,0.717,368.5,743.9,0.495,63.6,83.5,1.038,5905.6,True,304.0,390.75,3178.8,3.62,False,False,True,273.6,1540.0
2024-04-30,SHORT,1790.0,610.0,50,3780.0,5570.0,77.1,109.3,0.722,358.0,661.2,0.541,58.0,69.3,0.887,2718.5,True,80.1,-39.49,1052.7,2.34,False,True,False,86.2,30.0
2024-05-01,SHORT,930.0,80.0,1,0.0,930.0,0.0,0.0,0.0,690.0,690.0,1.0,0.0,52.9,0.46,806.0,False,0.0,-58.9,-32.6,0.1,False,False,True,697.0,3600.0
