signal,entry_time,exit_time,pair,direction,pair_entry,pair_exit,r_actual,outcome,sl_pts_dxy,dxy_outcome,dxy_entry,dxy_tp,dxy_sl,london_open,gap_pts_at_lon,wave_ext_pts
ATTR_CORE_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,AUDUSD,short,0.65488,0.656,-1.0,loss,680,loss,98.733,98.801,98.665,98.66,860.0,0.0
ATTR_CORE_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,EURUSD,short,1.16521,1.16593,-1.0,loss,680,loss,98.733,98.801,98.665,98.66,860.0,0.0
ATTR_CORE_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,GBPUSD,short,1.3308,1.33218,-1.0,loss,680,loss,98.733,98.801,98.665,98.66,860.0,0.0
ATTR_CORE_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,NZDUSD,short,0.57647,0.5776,-1.0,loss,680,loss,98.733,98.801,98.665,98.66,860.0,0.0
ATTR_CORE_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,USDCAD,long,1.40038,1.39979,-1.0,loss,680,loss,98.733,98.801,98.665,98.66,860.0,0.0
ATTR_CORE_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,USDCHF,long,0.79399,0.79374,-1.0,loss,680,loss,98.733,98.801,98.665,98.66,860.0,0.0
ATTR_CORE_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,USDJPY,long,151.951,151.894,-1.0,loss,680,loss,98.733,98.801,98.665,98.66,860.0,0.0
REV_SHORT,2025-10-28 09:30:00+00:00,2025-10-29 09:00:00+00:00,AUDUSD,long,0.65569,0.65959,1.297,win,3000,loss,98.677,98.377,98.977,98.676,,
REV_SHORT,2025-10-28 09:30:00+00:00,2025-10-29 09:00:00+00:00,EURUSD,long,1.16583,1.16233,-1.0,loss,3000,loss,98.677,98.377,98.977,98.676,,
REV_SHORT,2025-10-28 09:30:00+00:00,2025-10-29 09:00:00+00:00,GBPUSD,long,1.33177,1.3202,-1.0,loss,3000,loss,98.677,98.377,98.977,98.676,,
REV_SHORT,2025-10-28 09:30:00+00:00,2025-10-29 09:00:00+00:00,NZDUSD,long,0.57717,0.57763,0.156,win,3000,loss,98.677,98.377,98.977,98.676,,
REV_SHORT,2025-10-28 09:30:00+00:00,2025-10-29 09:00:00+00:00,USDCAD,short,1.39966,1.39469,1.657,win,3000,loss,98.677,98.377,98.977,98.676,,
REV_SHORT,2025-10-28 09:30:00+00:00,2025-10-29 09:00:00+00:00,USDCHF,short,0.79331,0.79698,-1.0,loss,3000,loss,98.677,98.377,98.977,98.676,,
REV_SHORT,2025-10-28 09:30:00+00:00,2025-10-29 09:00:00+00:00,USDJPY,short,151.897,152.388,-1.0,loss,3000,loss,98.677,98.377,98.977,98.676,,
REV_SHORT,2025-10-28 09:45:00+00:00,2025-10-29 09:00:00+00:00,AUDUSD,long,0.65582,0.65959,1.254,win,3000,loss,98.684,98.384,98.984,98.676,,
REV_SHORT,2025-10-28 09:45:00+00:00,2025-10-29 09:00:00+00:00,EURUSD,long,1.16569,1.16233,-1.0,loss,3000,loss,98.684,98.384,98.984,98.676,,
REV_SHORT,2025-10-28 09:45:00+00:00,2025-10-29 09:00:00+00:00,GBPUSD,long,1.33174,1.3202,-1.0,loss,3000,loss,98.684,98.384,98.984,98.676,,
REV_SHORT,2025-10-28 09:45:00+00:00,2025-10-29 09:00:00+00:00,NZDUSD,long,0.57737,0.57763,0.089,win,3000,loss,98.684,98.384,98.984,98.676,,
REV_SHORT,2025-10-28 09:45:00+00:00,2025-10-29 09:00:00+00:00,USDCAD,short,1.39972,1.39469,1.677,win,3000,loss,98.684,98.384,98.984,98.676,,
REV_SHORT,2025-10-28 09:45:00+00:00,2025-10-29 09:00:00+00:00,USDCHF,short,0.79343,0.79698,-1.0,loss,3000,loss,98.684,98.384,98.984,98.676,,
REV_SHORT,2025-10-28 09:45:00+00:00,2025-10-29 09:00:00+00:00,USDJPY,short,151.915,152.388,-1.0,loss,3000,loss,98.684,98.384,98.984,98.676,,
REV_SHORT,2025-10-28 10:00:00+00:00,2025-10-29 09:00:00+00:00,AUDUSD,long,0.65608,0.65959,1.168,win,3000,loss,98.675,98.375,98.975,98.676,,
REV_SHORT,2025-10-28 10:00:00+00:00,2025-10-29 09:00:00+00:00,EURUSD,long,1.16582,1.16233,-1.0,loss,3000,loss,98.675,98.375,98.975,98.676,,
REV_SHORT,2025-10-28 10:00:00+00:00,2025-10-29 09:00:00+00:00,GBPUSD,long,1.33204,1.3202,-1.0,loss,3000,loss,98.675,98.375,98.975,98.676,,
REV_SHORT,2025-10-28 10:00:00+00:00,2025-10-29 09:00:00+00:00,NZDUSD,long,0.5776,0.57763,0.011,win,3000,loss,98.675,98.375,98.975,98.676,,
REV_SHORT,2025-10-28 10:00:00+00:00,2025-10-29 09:00:00+00:00,USDCAD,short,1.39963,1.39469,1.647,win,3000,loss,98.675,98.375,98.975,98.676,,
