gap,approach,reward,near_tp,n_sigs,net_r,wr,pf,net_eurusd,net_usdjpy,net_usdcad,net_xauusd
75,50,200,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
75,50,200,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
75,75,50,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
75,75,50,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
75,75,75,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
75,75,75,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
75,75,100,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
75,75,100,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
75,75,125,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
75,75,125,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
75,75,150,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
75,75,150,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
75,75,175,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
75,75,175,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
75,75,200,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
75,75,200,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
75,100,50,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
75,100,50,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
75,100,75,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
75,100,75,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
75,100,100,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
75,100,100,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
75,100,125,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
75,100,125,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
75,100,150,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
75,100,150,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
75,100,175,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
75,100,175,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
75,100,200,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
75,100,200,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
75,125,50,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
75,125,50,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
75,125,75,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
